id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
1227090,2023-02-10 22:30:00,Ногинский,Столкновение,С погибшими,"В темное время суток, освещение включено",Пасмурно,Отсутствие временных ТСОД в местах проведения работ,1,4,2,2,1,55.856588,38.520534
1227234,2023-02-11 14:42:00,Ивантеевка,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.977364,37.90781
1227236,2023-02-11 14:45:00,Сергиево-Посадский,Наезд на пешехода,Тяжёлый,Светлое время суток,Ясно,Несоответствие дорожных ограждений предъявляемым требованиям,2,2,1,0,1,56.302492,38.129951
1227260,2023-02-11 16:10:00,Наро-Фоминский,Наезд на пешехода,Тяжёлый,Светлое время суток,Снегопад,Недостатки зимнего содержания,1,2,1,0,1,55.53341,37.060178
1227289,2023-02-11 18:05:00,Клинский,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение отсутствует",Снегопад,Недостатки зимнего содержания,2,2,1,0,1,56.287113,36.787484
1227304,2023-02-11 18:50:00,Талдомский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,2,2,0,1,56.551606,37.627444
1227311,2023-02-11 19:30:00,Пушкинский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,2,2,0,1,55.958402,37.832837
1227320,2023-02-11 20:15:00,Долгопрудный,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,3,2,0,1,55.918838,37.494277
1227335,2023-02-11 20:50:00,Жуковский,Столкновение,Легкий,"В темное время суток, освещение включено",Снегопад,,0,3,2,0,2,55.605396,38.075598
1227340,2023-02-11 21:10:00,Одинцовский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,2,2,0,2,55.625307,37.151921
1227350,2023-02-11 22:35:00,Пушкинский,Столкновение,Тяжёлый,"В темное время суток, освещение отсутствует",Снегопад,,0,3,2,0,1,56.149243,37.988062
1227355,2023-02-11 22:50:00,Красногорский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,2,2,0,1,55.882376,37.316694
1227357,2023-02-11 23:00:00,Серебряно-Прудский,Съезд с дороги,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,4,1,0,1,54.261377,38.655707
1227358,2023-02-11 23:04:00,Дмитровский,Столкновение,С погибшими,"В темное время суток, освещение включено",Снегопад,,0,4,2,1,2,56.336096,37.482187
1227388,2023-02-12 05:50:00,Солнечногорский,Столкновение,Тяжёлый,"В темное время суток, освещение включено",Снегопад,,0,2,2,0,1,56.184308,36.982722
1227416,2023-02-12 09:40:00,Мытищинский,Наезд на пешехода,Тяжёлый,Светлое время суток,Пасмурно,,0,2,1,0,1,55.909645,37.737844
1227442,2023-02-12 11:15:00,Сергиево-Посадский,Опрокидывание,Тяжёлый,Светлое время суток,Пасмурно,Недостатки зимнего содержания,1,2,2,0,1,56.45642,38.339539
