dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
1569,1,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,1989,"С-класс (малый средний, компактный) до 4,3 м"
1569,1,Водитель,Мужской,30.0,Нет нарушений,0,Ранен,ВАЗ,1989,"С-класс (малый средний, компактный) до 4,3 м"
1569,2,Пассажир,Женский,,Нет нарушений,0,Ранен,NISSAN,2000,"D-класс (средний) до 4,6 м"
1569,2,Водитель,Мужской,14.0,Несоответствие скорости конкретным условиям движения,1,Ранен,NISSAN,2000,"D-класс (средний) до 4,6 м"
1569,3,Водитель,Мужской,24.0,Несоблюдение очередности проезда,1,Не пострадал,NISSAN,2012,"D-класс (средний) до 4,6 м"
1579,1,Водитель,Мужской,3.0,Несоответствие скорости конкретным условиям движения,1,Ранен,TOYOTA,2006,"С-класс (малый средний, компактный) до 4,3 м"
1694,1,Водитель,Мужской,26.0,Нет нарушений,0,Не пострадал,,1998,Тракторы
1694,2,Водитель,Мужской,37.0,Нарушение правил расположения ТС на проезжей части,1,Ранен,ВАЗ,2010,"В-класс (малый) до 3,9 м"
1702,1,Пассажир,Женский,,Нет нарушений,0,Ранен,MAZDA,2006,"С-класс (малый средний, компактный) до 4,3 м"
1702,1,Водитель,Женский,95.0,Другие нарушения ПДД водителем,1,Не пострадал,MAZDA,2006,"С-класс (малый средний, компактный) до 4,3 м"
1845,1,Водитель,Мужской,37.0,Несоответствие скорости конкретным условиям движения,1,Ранен,ВАЗ,1989,"В-класс (малый) до 3,9 м"
1845,2,Водитель,Мужской,4.0,Нет нарушений,0,Не пострадал,PEUGEOT,2002,"В-класс (малый) до 3,9 м"
1851,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,2010,"С-класс (малый средний, компактный) до 4,3 м"
1851,1,Водитель,Женский,5.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ВАЗ,2010,"С-класс (малый средний, компактный) до 4,3 м"
1897,1,Водитель,Мужской,8.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,NISSAN,2008,"В-класс (малый) до 3,9 м"
1897,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,NISSAN,2008,"В-класс (малый) до 3,9 м"
1946,1,Водитель,Женский,2.0,Другие нарушения ПДД водителем,1,Не пострадал,KIA,2010,"В-класс (малый) до 3,9 м"
1946,2,Водитель,Мужской,5.0,Нет нарушений,0,Не пострадал,ВАЗ,2012,"В-класс (малый) до 3,9 м"
1946,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,ВАЗ,2012,"В-класс (малый) до 3,9 м"
1966,1,Водитель,Мужской,2.0,Несоблюдение очередности проезда,1,Не пострадал,ВАЗ,2001,"В-класс (малый) до 3,9 м"
1966,2,Водитель,Мужской,3.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2008,"С-класс (малый средний, компактный) до 4,3 м"
1966,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1966,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
2062,1,Водитель,Мужской,11.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ВАЗ,2006,"В-класс (малый) до 3,9 м"
2062,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
2119,1,Водитель,,6.0,Нет нарушений,0,Не пострадал,HYUNDAI,2007,"В-класс (малый) до 3,9 м"
