id,datetime,district,category,severity,light,weather,road_defect,road_defects,participants_count,vehicles_count,dead_count,injured_count,lat,lon
457858,2017-09-24 11:00:00,Стародубский район,Наезд на пешехода,Легкий,Светлое время суток,Ясно,,0,2,1,0,1,52.5947,32.7964
457915,2017-09-24 13:20:00,Брянский район,Наезд на пешехода,С погибшими,Светлое время суток,Ясно,,0,2,2,1,0,53.3864,34.3208
458109,2017-09-24 19:20:00,Выгоничский район,Столкновение,Легкий,"В темное время суток, освещение включено",Ясно,,0,3,2,0,1,53.2039,33.7542
458153,2017-09-24 20:01:00,Брянская область,Столкновение,Легкий,Сумерки,Пасмурно,,0,4,3,0,1,53.13,34.2422
458480,2017-09-25 13:25:00,Брянская область,Наезд на пешехода,С погибшими,Светлое время суток,Ясно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,1,1,0,53.1827,34.1848
458484,2017-09-25 13:37:00,Брянская область,Наезд на пешехода,Тяжёлый,Светлое время суток,Ясно,,0,2,1,0,1,53.15,34.2057
458525,2017-09-25 15:00:00,Новозыбковский район,Столкновение,Тяжёлый,Светлое время суток,Ясно,,0,2,2,0,1,52.53379,31.94071
458619,2017-09-25 18:40:00,Брянская область,Столкновение,Легкий,Светлое время суток,Ясно,,0,2,2,0,1,53.2169,34.4044
458757,2017-09-26 05:20:00,Выгоничский район,Наезд на препятствие,С погибшими,"В темное время суток, освещение отсутствует",Ясно,,0,2,1,1,1,53.2539,34.7536
458887,2017-09-26 12:20:00,Брянская область,Падение пассажира,Легкий,Светлое время суток,Ясно,Отсутствие дорожных знаков в необходимых местах,4,2,1,0,1,53.3047,34.3011
458930,2017-09-26 14:00:00,Брянская область,Наезд на пешехода,Легкий,Светлое время суток,Ясно,,0,2,1,0,1,53.3058,34.295
459064,2017-09-26 19:00:00,Дятьковский район,Наезд на препятствие,Легкий,"В темное время суток, освещение включено",Пасмурно,"Отсутствие, плохая различимость вертикальной разметки",1,1,1,0,1,53.8167,34.0842
459110,2017-09-26 20:10:00,Брянская область,Наезд на пешехода,Легкий,"В темное время суток, освещение включено",Ясно,,0,2,1,0,1,53.215,34.4156
459264,2017-09-27 09:00:00,Дятьковский район,Наезд на препятствие,Тяжёлый,Светлое время суток,Ясно,Отсутствие тротуаров (пешеходных дорожек),2,3,1,0,3,53.603016,34.331867
459333,2017-09-27 12:18:00,Брянская область,Столкновение,Легкий,Светлое время суток,Ясно,Отсутствие дорожных знаков в необходимых местах,2,3,2,0,2,53.3411,34.3072
459580,2017-09-27 20:30:00,Клинцовский район,Наезд на пешехода,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,,0,3,1,0,3,52.7546,32.2403
459650,2017-09-28 01:10:00,Брянская область,Опрокидывание,Тяжёлый,"В темное время суток, освещение включено",Пасмурно,Отсутствие тротуаров (пешеходных дорожек),2,1,1,0,1,53.3189,34.2933
459824,2017-09-28 14:10:00,Брянский район,Наезд на велосипедиста,Легкий,Светлое время суток,Пасмурно,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",1,2,2,0,1,53.3467,34.013
459861,2017-09-28 15:45:00,Брянский район,Столкновение,Легкий,Светлое время суток,Ясно,,0,3,2,0,1,53.1422,34.3614
459939,2017-09-28 18:30:00,Стародубский район,Столкновение,Легкий,Светлое время суток,Ясно,,0,3,2,0,1,52.9067,32.6017
459959,2017-09-28 18:50:00,Брянская область,Столкновение,Тяжёлый,Светлое время суток,Ясно,Отсутствие пешеходных ограждений в необходимых местах,1,5,4,0,2,53.1459,34.1958
460201,2017-09-29 10:50:00,Почепский район,Наезд на пешехода,Тяжёлый,Светлое время суток,Ясно,,0,2,1,0,1,52.155,33.7372
