dtp_id,vehicle_no,role,gender,experience,violation,violations_count,health,brand,vehicle_year,vehicle_category
1090743,2,Пассажир,Женский,,Нет нарушений,0,Ранен,SKODA,2015,Прочие легковые автомобили
1090753,1,Водитель,Женский,3.0,Несоответствие скорости конкретным условиям движения,1,Ранен,CHEVROLET,2010,"А-класс (особо малый) до 3,5 м"
1090842,1,Водитель,Мужской,27.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,IVECO,1998,Фургоны
1090842,,Пешеход,Женский,,Нет нарушений,0,Погиб,,,
1090999,1,Водитель,Мужской,6.0,Нет нарушений,0,Ранен,SKODA,2007,Прочие легковые автомобили
1090999,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,SKODA,2007,Прочие легковые автомобили
1090999,2,Водитель,Мужской,18.0,Несоблюдение очередности проезда,1,Не пострадал,ГАЗ,2020,Рефрижераторы
1091037,1,Водитель,Мужской,30.0,Нет нарушений,0,Не пострадал,MERCEDES,2006,Одноэтажные длиной от 5 до 8 м
1091037,,Пешеход,Мужской,,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),1,Ранен,,,
1091158,1,Пассажир,Женский,,Нет нарушений,0,Ранен,NISSAN,2010,"В-класс (малый) до 3,9 м"
1091158,1,Водитель,Мужской,12.0,Нет нарушений,0,Не пострадал,NISSAN,2010,"В-класс (малый) до 3,9 м"
1091158,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,NISSAN,2010,"В-класс (малый) до 3,9 м"
1091158,1,Пассажир,Женский,,Нет нарушений,0,Ранен,NISSAN,2010,"В-класс (малый) до 3,9 м"
1091158,2,Водитель,Мужской,36.0,Выезд на полосу встречного движения,1,Ранен,RENAULT,2011,"В-класс (малый) до 3,9 м"
1091166,1,Водитель,Женский,9.0,Нет нарушений,0,Не пострадал,VOLVO,2009,Прочие легковые автомобили
1091166,,Пешеход,Мужской,,Неожиданный выход из-за стоящего ТС,1,Ранен,,,
1091286,1,Водитель,Мужской,17.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,SSANGYONG,2010,Прочие легковые автомобили
1091286,,Пешеход,Женский,,Нет нарушений,0,Погиб,,,
1091335,1,Водитель,Мужской,96.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,КАМАЗ,2011,Прочие грузовые автомобили
1091335,,Пешеход,Женский,,Нет нарушений,0,Погиб,,,
1091360,1,Водитель,Женский,12.0,Нет нарушений,0,Не пострадал,TOYOTA,2007,Прочие легковые автомобили
1091360,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,TOYOTA,2007,Прочие легковые автомобили
1091360,2,Водитель,Женский,22.0,Неправильный выбор дистанции,1,Не пострадал,VOLKSWAGEN,2011,"С-класс (малый средний, компактный) до 4,3 м"
1091485,1,Пассажир,Женский,,Нет нарушений,0,Ранен,PEUGEOT,2002,Прочие легковые автомобили
1091485,2,Водитель,Мужской,17.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,ГАЗ,2021,Фургоны
1091485,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1091503,1,Водитель,Мужской,30.0,Несоответствие скорости конкретным условиям движения,1,Ранен,ВАЗ,2011,"С-класс (малый средний, компактный) до 4,3 м"
1091561,1,Водитель,Мужской,19.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,FORD,2001,"В-класс (малый) до 3,9 м"
1091561,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1091565,1,Водитель,Мужской,12.0,Несоответствие скорости конкретным условиям движения,1,Погиб,FORD,2007,"В-класс (малый) до 3,9 м"
1091565,2,Водитель,Мужской,40.0,Нет нарушений,0,Не пострадал,SSANGYONG,2008,Прочие легковые автомобили
1091588,1,Водитель,Мужской,33.0,Несоответствие скорости конкретным условиям движения,1,Ранен,HONDA,2002,Прочие легковые автомобили
1091588,2,Водитель,Мужской,16.0,Нет нарушений,0,Ранен,SUBARU,2008,Прочие легковые автомобили
1091610,2,Водитель,Мужской,34.0,Несоответствие скорости конкретным условиям движения,1,Ранен,КАМАЗ,1993,Фургоны
1091610,2,Пассажир,Мужской,,Нет нарушений,0,Ранен,КАМАЗ,1993,Фургоны
1091610,4,Водитель,Мужской,12.0,Нет нарушений,0,Не пострадал,КАМАЗ,2021,Седельные тягачи
1091631,1,Водитель,Мужской,43.0,Несоблюдение очередности проезда,1,Ранен,DAEWOO,2011,Прочие легковые автомобили
1091631,1,Пассажир,Женский,,Нет нарушений,0,Погиб,DAEWOO,2011,Прочие легковые автомобили
1091631,1,Пассажир,Женский,,Нет нарушений,0,Ранен,DAEWOO,2011,Прочие легковые автомобили
1091631,2,Водитель,Мужской,32.0,Нет нарушений,0,Не пострадал,КАМАЗ,2019,Прочая спецтехника
1091641,1,Водитель,Мужской,30.0,Нет нарушений,0,Ранен,LAND ROVER,2005,Минивэны и универсалы повышенной вместимости
1091641,2,Водитель,Мужской,24.0,Несоблюдение очередности проезда,1,Не пострадал,MAN,2007,Фургоны
1091645,1,Водитель,Мужской,6.0,Нет нарушений,0,Не пострадал,MERCEDES,2010,"S-класс (высший, представительский класс) более 4,9 м"
1091645,2,Водитель,Мужской,18.0,Неправильный выбор дистанции,1,Не пострадал,KIA,2015,Прочие легковые автомобили
1091645,2,Пассажир,Женский,,Нет нарушений,0,Ранен,KIA,2015,Прочие легковые автомобили
1091695,1,Водитель,Мужской,9.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,TOYOTA,2003,"D-класс (средний) до 4,6 м"
1091695,2,Пассажир,Женский,,Нет нарушений,0,Ранен,VOLKSWAGEN,2011,"С-класс (малый средний, компактный) до 4,3 м"
1091695,2,Водитель,Мужской,22.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2011,"С-класс (малый средний, компактный) до 4,3 м"
1091731,1,Водитель,Мужской,15.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,OPEL,2010,"В-класс (малый) до 3,9 м"
1091731,2,Пассажир,Женский,,Нет нарушений,0,Ранен,RENAULT,2011,"А-класс (особо малый) до 3,5 м"
1091731,2,Водитель,Мужской,22.0,Нет нарушений,0,Ранен,RENAULT,2011,"А-класс (особо малый) до 3,5 м"
1091731,2,Пассажир,Женский,,Нет нарушений,0,Ранен,RENAULT,2011,"А-класс (особо малый) до 3,5 м"
1091766,1,Водитель,Мужской,31.0,Нет нарушений,0,Ранен,BMW,1995,Прочие легковые автомобили
1091766,2,Водитель,Мужской,21.0,Нет нарушений,0,Не пострадал,TOYOTA,2011,Прочие легковые автомобили
1091766,3,Водитель,Мужской,4.0,Выезд на полосу встречного движения,1,Не пострадал,KIA,2015,Прочие легковые автомобили
1091821,1,Водитель,Мужской,13.0,Нет нарушений,0,Не пострадал,ЛИАЗ,2018,Прочие одноярусные
1091821,1,Пассажир,Женский,,Нет нарушений,0,Ранен,ЛИАЗ,2018,Прочие одноярусные
1091821,2,Водитель,Мужской,4.0,Несоблюдение очередности проезда,1,Не пострадал,KIA,2019,"В-класс (малый) до 3,9 м"
1091826,1,Водитель,Женский,4.0,Нет нарушений,0,Не пострадал,HYUNDAI,2010,"В-класс (малый) до 3,9 м"
1091826,2,Водитель,Женский,6.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,RENAULT,2016,"С-класс (малый средний, компактный) до 4,3 м"
1091826,3,Водитель,Мужской,30.0,Нет нарушений,0,Ранен,ВАЗ,2016,Прочие легковые автомобили
1091826,3,Пассажир,Женский,,Нет нарушений,0,Ранен,ВАЗ,2016,Прочие легковые автомобили
1091840,1,Водитель,Мужской,6.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,HYUNDAI,2020,"В-класс (малый) до 3,9 м"
1091840,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1091844,1,Водитель,Женский,25.0,Нет нарушений,0,Ранен,MERCEDES,2014,Прочие легковые автомобили
1091844,1,Пассажир,Женский,,Нет нарушений,0,Ранен,MERCEDES,2014,Прочие легковые автомобили
1091844,2,Водитель,Мужской,1.0,Несоответствие скорости конкретным условиям движения,1,Погиб,SKODA,2014,Прочие легковые автомобили
1091844,2,Пассажир,Женский,,Нет нарушений,0,Ранен,SKODA,2014,Прочие легковые автомобили
1091879,1,Водитель,Мужской,18.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,OPEL,2008,"D-класс (средний) до 4,6 м"
1091879,1,Пассажир,Женский,,Нет нарушений,0,Ранен,OPEL,2008,"D-класс (средний) до 4,6 м"
1091885,1,Водитель,Мужской,4.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,CHEVROLET,2012,"А-класс (особо малый) до 3,5 м"
1091885,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1091889,1,Водитель,Мужской,1.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,FORD,2006,Прочие легковые автомобили
1091889,2,Водитель,Мужской,26.0,Нет нарушений,0,Не пострадал,MAZDA,2013,Прочие легковые автомобили
1091889,2,Пассажир,Женский,,Нет нарушений,0,Ранен,MAZDA,2013,Прочие легковые автомобили
1091925,1,Водитель,Мужской,26.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,KIA,2020,Прочие легковые автомобили
1091925,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1091975,1,Водитель,Женский,19.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,VOLVO,2008,Прочие легковые автомобили
1091975,,Пешеход,Мужской,,Нет нарушений,0,Ранен,,,
1092017,1,Водитель,Мужской,5.0,Нет нарушений,0,Ранен,RENAULT,2018,"В-класс (малый) до 3,9 м"
1092017,2,Водитель,Мужской,5.0,Нарушение правил расположения ТС на проезжей части,1,Не пострадал,MAZDA,2020,"В-класс (малый) до 3,9 м"
1092044,1,Водитель,Мужской,0.0,Нарушение правил перестроения,1,Ранен,HYUNDAI,2007,"В-класс (малый) до 3,9 м"
1092044,1,Пассажир,Мужской,,Нет нарушений,0,Ранен,HYUNDAI,2007,"В-класс (малый) до 3,9 м"
1092044,2,Водитель,Мужской,5.0,Нет нарушений,0,Не пострадал,VOLVO,2010,"В-класс (малый) до 3,9 м"
1092072,1,Водитель,Женский,34.0,Нарушение правил проезда пешеходного перехода,1,Не пострадал,HYUNDAI,2008,Прочие легковые автомобили
1092072,,Пешеход,Женский,,Нет нарушений,0,Ранен,,,
1092085,1,Водитель,Мужской,14.0,"Выезд на полосу встречного движения в местах, где это запрещено",1,Не пострадал,VOLKSWAGEN,2013,"С-класс (малый средний, компактный) до 4,3 м"
1092085,2,Пассажир,Женский,,Нет нарушений,0,Ранен,УАЗ,2021,"С-класс (малый средний, компактный) до 4,3 м"
1092085,2,Водитель,Мужской,38.0,Нет нарушений,0,Ранен,УАЗ,2021,"С-класс (малый средний, компактный) до 4,3 м"
1092180,1,Пассажир,Женский,,Нет нарушений,0,Ранен,PEUGEOT,2006,"В-класс (малый) до 3,9 м"
1092180,1,Водитель,Женский,10.0,Несоблюдение очередности проезда,1,Не пострадал,PEUGEOT,2006,"В-класс (малый) до 3,9 м"
1092180,2,Водитель,Мужской,15.0,Нет нарушений,0,Не пострадал,HONDA,2007,Прочие легковые автомобили
1092219,1,Водитель,Мужской,9.0,Нет нарушений,0,Ранен,NISSAN,2001,Прочие легковые автомобили
1092219,2,Водитель,Мужской,46.0,Несоблюдение очередности проезда,1,Ранен,HYUNDAI,2021,"В-класс (малый) до 3,9 м"
1092222,1,Водитель,Мужской,8.0,Нет нарушений,0,Ранен,CITROEN,2012,"В-класс (малый) до 3,9 м"
1092222,2,Водитель,Мужской,3.0,Несоблюдение очередности проезда,1,Не пострадал,RENAULT,2014,Рефрижераторы
1092265,1,Водитель,Женский,8.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,KIA,2016,"С-класс (малый средний, компактный) до 4,3 м"
1092265,2,Водитель,Мужской,24.0,Нет нарушений,0,Не пострадал,VOLKSWAGEN,2016,"D-класс (средний) до 4,6 м"
1092265,2,Пассажир,Женский,,Нет нарушений,0,Ранен,VOLKSWAGEN,2016,"D-класс (средний) до 4,6 м"
1092277,1,Водитель,Мужской,14.0,Несоответствие скорости конкретным условиям движения,1,Не пострадал,PEUGEOT,2008,"А-класс (особо малый) до 3,5 м"
1092277,2,Водитель,Женский,19.0,Нет нарушений,0,Ранен,BMW,2020,"С-класс (малый средний, компактный) до 4,3 м"
1092314,1,Водитель,Мужской,36.0,Нет нарушений,0,Ранен,MITSUBISHI,2002,"D-класс (средний) до 4,6 м"
1092314,2,Водитель,Мужской,10.0,Нет нарушений,0,Не пострадал,NISSAN,2011,Прочие легковые автомобили
1092314,3,Водитель,Мужской,13.0,Неправильный выбор дистанции,1,Не пострадал,KIA,2021,Прочие легковые автомобили
